fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol, quality
7.2, 0.65, 0.02, 2.3, 0.094, 5.0, 31.0, 0.9993, 3.67, 0.8, 9.7, 5
6.7, 0.675, 0.07, 2.4, 0.08900000000000001, 17.0, 82.0, 0.9958, 3.35, 0.54, 10.1, 5
8.5, 0.32, 0.42, 2.3, 0.075, 12.0, 19.0, 0.99434, 3.14, 0.71, 11.8, 7
11.9, 0.38, 0.49, 2.7, 0.098, 12.0, 42.0, 1.0004, 3.16, 0.61, 10.3, 5
9.9, 0.63, 0.24, 2.4, 0.077, 6.0, 33.0, 0.9974, 3.09, 0.57, 9.4, 5
11.6, 0.58, 0.66, 2.2, 0.07400000000000001, 10.0, 47.0, 1.0008, 3.25, 0.57, 9.0, 3
5.9, 0.46, 0.0, 1.9, 0.077, 25.0, 44.0, 0.99385, 3.5, 0.53, 11.2, 5
6.2, 0.63, 0.31, 1.7, 0.08800000000000001, 15.0, 64.0, 0.9969, 3.46, 0.79, 9.3, 5
8.9, 0.4, 0.51, 2.6, 0.052000000000000005, 13.0, 27.0, 0.995, 3.32, 0.9, 13.4, 7
6.6, 0.735, 0.02, 7.9, 0.122, 68.0, 124.0, 0.9994, 3.47, 0.53, 9.9, 5
7.6, 0.41, 0.49, 2.0, 0.08800000000000001, 16.0, 43.0, 0.998, 3.48, 0.64, 9.1, 5
6.6, 0.815, 0.02, 2.7, 0.07200000000000001, 17.0, 34.0, 0.9955, 3.58, 0.89, 12.3, 7
8.9, 0.12, 0.45, 1.8, 0.075, 10.0, 21.0, 0.9955200000000001, 3.41, 0.76, 11.9, 7
9.0, 0.58, 0.25, 2.0, 0.10400000000000001, 8.0, 21.0, 0.99769, 3.27, 0.72, 9.6, 5
8.6, 0.47, 0.27, 2.3, 0.055, 14.0, 28.0, 0.99516, 3.18, 0.8, 11.2, 5
10.5, 0.51, 0.64, 2.4, 0.107, 6.0, 15.0, 0.9973, 3.09, 0.66, 11.8, 7
8.0, 0.62, 0.35, 2.8, 0.086, 28.0, 52.0, 0.997, 3.31, 0.62, 10.8, 5
12.3, 0.39, 0.63, 2.3, 0.091, 6.0, 18.0, 1.0004, 3.16, 0.49, 9.5, 5
6.8, 0.775, 0.0, 3.0, 0.102, 8.0, 23.0, 0.9965, 3.45, 0.56, 10.7, 5
7.1, 0.715, 0.0, 2.35, 0.071, 21.0, 47.0, 0.9963200000000001, 3.29, 0.45, 9.4, 5
7.0, 0.69, 0.08, 1.8, 0.09699999999999999, 22.0, 89.0, 0.9959, 3.34, 0.54, 9.2, 6
9.6, 0.38, 0.31, 2.5, 0.096, 16.0, 49.0, 0.9982, 3.19, 0.7, 10.0, 7
9.0, 0.38, 0.41, 2.4, 0.10300000000000001, 6.0, 10.0, 0.9960399999999999, 3.13, 0.58, 11.9, 7
6.3, 0.68, 0.01, 3.7, 0.10300000000000001, 32.0, 54.0, 0.9958600000000001, 3.51, 0.66, 11.3, 6
10.7, 0.52, 0.38, 2.6, 0.066, 29.0, 56.0, 0.99577, 3.15, 0.79, 12.1, 7
7.2, 0.655, 0.03, 1.8, 0.078, 7.0, 12.0, 0.99587, 3.34, 0.39, 9.5, 5
6.6, 0.855, 0.02, 2.4, 0.062, 15.0, 23.0, 0.9962700000000001, 3.54, 0.6, 11.0, 6
8.4, 0.665, 0.61, 2.0, 0.11199999999999999, 13.0, 95.0, 0.997, 3.16, 0.54, 9.1, 5
7.5, 1.115, 0.1, 3.1, 0.086, 5.0, 12.0, 0.9958, 3.54, 0.6, 11.2, 4
7.4, 0.29, 0.38, 1.7, 0.062, 9.0, 30.0, 0.9968, 3.41, 0.53, 9.5, 6
